Device,Voltage,Percentage,Timestamp
MAX17043,3.641,129.617,2022-06-16 18:06:22.169100+00:00
MAX17043,3.642,129.617,2022-06-16 18:06:22.615201+00:00
MAX17043,3.641,129.617,2022-06-16 18:06:23.181215+00:00
MAX17043,3.641,129.617,2022-06-16 18:06:23.627315+00:00
MAX17043,3.641,129.617,2022-06-16 18:06:24.198155+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:24.653429+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:25.212180+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:25.677913+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:26.235334+00:00
MAX17043,3.641,129.457,2022-06-16 18:06:26.706840+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:27.265080+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:27.731069+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:28.291598+00:00
MAX17043,3.641,129.301,2022-06-16 18:06:28.759609+00:00
MAX17043,3.642,129.301,2022-06-16 18:06:29.318910+00:00
MAX17043,3.642,129.301,2022-06-16 18:06:29.786910+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:30.347590+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:30.810933+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:31.365948+00:00
MAX17043,3.642,129.141,2022-06-16 18:06:31.834175+00:00
MAX17043,3.641,129.141,2022-06-16 18:06:32.394016+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:32.858208+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:33.415604+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:33.880019+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:34.440044+00:00
MAX17043,3.641,128.984,2022-06-16 18:06:34.908246+00:00
MAX17043,3.641,128.824,2022-06-16 18:06:35.466471+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:35.933649+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:36.488101+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:36.951307+00:00
MAX17043,3.642,128.824,2022-06-16 18:06:37.512199+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:37.976706+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:38.534900+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:38.991526+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:39.554934+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:40.004454+00:00
MAX17043,3.642,128.668,2022-06-16 18:06:40.563932+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:41.029697+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:41.592080+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:42.043996+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:42.604916+00:00
MAX17043,3.642,128.508,2022-06-16 18:06:43.071207+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:43.630678+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:44.100605+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:44.661617+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:45.127582+00:00
MAX17043,3.642,128.352,2022-06-16 18:06:45.668752+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:46.148134+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:46.713384+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:47.178917+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:47.738236+00:00
MAX17043,3.644,128.191,2022-06-16 18:06:48.191950+00:00
MAX17043,3.644,128.035,2022-06-16 18:06:48.748251+00:00
MAX17043,3.644,128.035,2022-06-16 18:06:49.214867+00:00
MAX17043,3.644,128.035,2022-06-16 18:06:49.774360+00:00
MAX17043,3.644,128.035,2022-06-16 18:06:50.228238+00:00
MAX17043,3.644,128.035,2022-06-16 18:06:50.789906+00:00
MAX17043,3.644,128.035,2022-06-16 18:06:51.254807+00:00
MAX17043,3.644,127.875,2022-06-16 18:06:51.815697+00:00
MAX17043,3.644,127.875,2022-06-16 18:06:52.277892+00:00
MAX17043,3.642,127.875,2022-06-16 18:06:52.837832+00:00
MAX17043,3.642,127.875,2022-06-16 18:06:53.304868+00:00
MAX17043,3.642,127.875,2022-06-16 18:06:53.865874+00:00
MAX17043,3.642,127.719,2022-06-16 18:06:54.334850+00:00
MAX17043,3.642,127.719,2022-06-16 18:06:54.894048+00:00
MAX17043,3.641,127.719,2022-06-16 18:06:55.362776+00:00
MAX17043,3.641,127.719,2022-06-16 18:06:55.918269+00:00
MAX17043,3.641,127.719,2022-06-16 18:06:56.383237+00:00
MAX17043,3.642,127.559,2022-06-16 18:06:56.941881+00:00
MAX17043,3.642,127.559,2022-06-16 18:06:57.408833+00:00
MAX17043,3.642,127.559,2022-06-16 18:06:57.971213+00:00
MAX17043,3.642,127.559,2022-06-16 18:06:58.433762+00:00
MAX17043,3.642,127.559,2022-06-16 18:06:58.992197+00:00
MAX17043,3.642,127.559,2022-06-16 18:06:59.458826+00:00
MAX17043,3.642,127.402,2022-06-16 18:07:00.002474+00:00
MAX17043,3.642,127.402,2022-06-16 18:07:00.473140+00:00
MAX17043,3.642,127.402,2022-06-16 18:07:01.029889+00:00
MAX17043,3.641,127.402,2022-06-16 18:07:01.496904+00:00
MAX17043,3.641,127.402,2022-06-16 18:07:02.038277+00:00
MAX17043,3.641,127.242,2022-06-16 18:07:02.520257+00:00
MAX17043,3.641,127.242,2022-06-16 18:07:03.075708+00:00
MAX17043,3.641,127.242,2022-06-16 18:07:03.545885+00:00
MAX17043,3.640,127.242,2022-06-16 18:07:04.104858+00:00
MAX17043,3.639,127.242,2022-06-16 18:07:04.571171+00:00
MAX17043,3.634,127.086,2022-06-16 18:07:05.127933+00:00
MAX17043,3.631,127.086,2022-06-16 18:07:05.596882+00:00
MAX17043,3.641,127.086,2022-06-16 18:07:06.158268+00:00
MAX17043,3.641,127.086,2022-06-16 18:07:06.613486+00:00
MAX17043,3.642,127.086,2022-06-16 18:07:07.176417+00:00
MAX17043,3.641,127.086,2022-06-16 18:07:07.628908+00:00
MAX17043,3.642,126.926,2022-06-16 18:07:08.191583+00:00
MAX17043,3.636,126.926,2022-06-16 18:07:08.643590+00:00
MAX17043,3.634,126.926,2022-06-16 18:07:09.202968+00:00
MAX17043,3.639,126.926,2022-06-16 18:07:09.670969+00:00
MAX17043,3.639,126.926,2022-06-16 18:07:10.231140+00:00
MAX17043,3.634,126.770,2022-06-16 18:07:10.697700+00:00
MAX17043,3.641,126.770,2022-06-16 18:07:11.254366+00:00
MAX17043,3.639,126.770,2022-06-16 18:07:11.719353+00:00
MAX17043,3.639,126.770,2022-06-16 18:07:12.259819+00:00
MAX17043,3.636,126.770,2022-06-16 18:07:12.741332+00:00
MAX17043,3.634,126.609,2022-06-16 18:07:13.300432+00:00
MAX17043,3.638,126.609,2022-06-16 18:07:13.764351+00:00
MAX17043,3.641,126.609,2022-06-16 18:07:14.319395+00:00
MAX17043,3.639,126.609,2022-06-16 18:07:14.785354+00:00
MAX17043,3.639,126.609,2022-06-16 18:07:15.341955+00:00
MAX17043,3.639,126.609,2022-06-16 18:07:15.809087+00:00
MAX17043,3.636,126.453,2022-06-16 18:07:16.370180+00:00
MAX17043,3.639,126.453,2022-06-16 18:07:16.835385+00:00
MAX17043,3.638,126.453,2022-06-16 18:07:17.391834+00:00
MAX17043,3.635,126.453,2022-06-16 18:07:17.857024+00:00
MAX17043,3.635,126.453,2022-06-16 18:07:18.413780+00:00
MAX17043,3.636,126.293,2022-06-16 18:07:18.878571+00:00
MAX17043,3.636,126.293,2022-06-16 18:07:19.434738+00:00
MAX17043,3.634,126.293,2022-06-16 18:07:19.897781+00:00
MAX17043,3.634,126.293,2022-06-16 18:07:20.459793+00:00
MAX17043,3.636,126.293,2022-06-16 18:07:20.928624+00:00
MAX17043,3.638,126.137,2022-06-16 18:07:21.490591+00:00
MAX17043,3.638,126.137,2022-06-16 18:07:21.943167+00:00
MAX17043,3.638,126.137,2022-06-16 18:07:22.502739+00:00
MAX17043,3.640,126.137,2022-06-16 18:07:22.968026+00:00
MAX17043,3.641,126.137,2022-06-16 18:07:23.515227+00:00
MAX17043,3.641,126.137,2022-06-16 18:07:23.979767+00:00
MAX17043,3.639,125.977,2022-06-16 18:07:24.528438+00:00
MAX17043,3.639,125.977,2022-06-16 18:07:25.011392+00:00
MAX17043,3.638,125.977,2022-06-16 18:07:25.572155+00:00
MAX17043,3.638,125.977,2022-06-16 18:07:26.037929+00:00
MAX17043,3.638,125.977,2022-06-16 18:07:26.596510+00:00
MAX17043,3.638,125.820,2022-06-16 18:07:27.060767+00:00
MAX17043,3.638,125.820,2022-06-16 18:07:27.623546+00:00
MAX17043,3.641,125.820,2022-06-16 18:07:28.084182+00:00
MAX17043,3.641,125.820,2022-06-16 18:07:28.644802+00:00
MAX17043,3.642,125.820,2022-06-16 18:07:29.110766+00:00
MAX17043,3.641,125.820,2022-06-16 18:07:29.669783+00:00
MAX17043,3.641,125.660,2022-06-16 18:07:30.139770+00:00
MAX17043,3.641,125.660,2022-06-16 18:07:30.699469+00:00
MAX17043,3.641,125.660,2022-06-16 18:07:31.165602+00:00
MAX17043,3.641,125.660,2022-06-16 18:07:31.725191+00:00
MAX17043,3.642,125.660,2022-06-16 18:07:32.178614+00:00
MAX17043,3.644,125.504,2022-06-16 18:07:32.730860+00:00
MAX17043,3.644,125.504,2022-06-16 18:07:33.198532+00:00
MAX17043,3.644,125.504,2022-06-16 18:07:33.762090+00:00
MAX17043,3.644,125.504,2022-06-16 18:07:34.229284+00:00
MAX17043,3.644,125.504,2022-06-16 18:07:34.788879+00:00
MAX17043,3.644,125.504,2022-06-16 18:07:35.252290+00:00
MAX17043,3.642,125.344,2022-06-16 18:07:35.795565+00:00
MAX17043,3.644,125.344,2022-06-16 18:07:36.277675+00:00
MAX17043,3.642,125.344,2022-06-16 18:07:36.838654+00:00
MAX17043,3.642,125.344,2022-06-16 18:07:37.289792+00:00
MAX17043,3.642,125.344,2022-06-16 18:07:37.847374+00:00
MAX17043,3.644,125.188,2022-06-16 18:07:38.314441+00:00
MAX17043,3.644,125.188,2022-06-16 18:07:38.875120+00:00
MAX17043,3.642,125.188,2022-06-16 18:07:39.339951+00:00
MAX17043,3.644,125.188,2022-06-16 18:07:39.900615+00:00
MAX17043,3.642,125.188,2022-06-16 18:07:40.370213+00:00
MAX17043,3.642,125.188,2022-06-16 18:07:40.932800+00:00
MAX17043,3.642,125.027,2022-06-16 18:07:41.386590+00:00
MAX17043,3.642,125.027,2022-06-16 18:07:41.941841+00:00
MAX17043,3.642,125.027,2022-06-16 18:07:42.406651+00:00
MAX17043,3.644,125.027,2022-06-16 18:07:42.965604+00:00
MAX17043,3.644,125.027,2022-06-16 18:07:43.433827+00:00
MAX17043,3.644,124.871,2022-06-16 18:07:43.992775+00:00
MAX17043,3.644,124.871,2022-06-16 18:07:44.446651+00:00
MAX17043,3.644,124.871,2022-06-16 18:07:45.005650+00:00
MAX17043,3.644,124.871,2022-06-16 18:07:45.465771+00:00
MAX17043,3.644,124.871,2022-06-16 18:07:46.024055+00:00
MAX17043,3.644,124.711,2022-06-16 18:07:46.493412+00:00
MAX17043,3.644,124.711,2022-06-16 18:07:47.052694+00:00
MAX17043,3.644,124.711,2022-06-16 18:07:47.519108+00:00
MAX17043,3.644,124.711,2022-06-16 18:07:48.079762+00:00
MAX17043,3.644,124.711,2022-06-16 18:07:48.549141+00:00
MAX17043,3.644,124.711,2022-06-16 18:07:49.107655+00:00
MAX17043,3.645,124.555,2022-06-16 18:07:49.569477+00:00
MAX17043,3.645,124.555,2022-06-16 18:07:50.127934+00:00
MAX17043,3.645,124.555,2022-06-16 18:07:50.581527+00:00
MAX17043,3.645,124.555,2022-06-16 18:07:51.121453+00:00
MAX17043,3.645,124.555,2022-06-16 18:07:51.601970+00:00
MAX17043,3.645,124.555,2022-06-16 18:07:52.165453+00:00
MAX17043,3.645,124.395,2022-06-16 18:07:52.617589+00:00
MAX17043,3.645,124.395,2022-06-16 18:07:53.177261+00:00
MAX17043,3.645,124.395,2022-06-16 18:07:53.638911+00:00
MAX17043,3.645,124.395,2022-06-16 18:07:54.199453+00:00
MAX17043,3.645,124.395,2022-06-16 18:07:54.663454+00:00
MAX17043,3.646,124.238,2022-06-16 18:07:55.220356+00:00
MAX17043,3.646,124.238,2022-06-16 18:07:55.686674+00:00
MAX17043,3.646,124.238,2022-06-16 18:07:56.241536+00:00
MAX17043,3.646,124.238,2022-06-16 18:07:56.709657+00:00
MAX17043,3.646,124.238,2022-06-16 18:07:57.253354+00:00
MAX17043,3.646,124.238,2022-06-16 18:07:57.731755+00:00
MAX17043,3.646,124.078,2022-06-16 18:07:58.291347+00:00
MAX17043,3.646,124.078,2022-06-16 18:07:58.760137+00:00
MAX17043,3.646,124.078,2022-06-16 18:07:59.321132+00:00
MAX17043,3.646,124.078,2022-06-16 18:07:59.786664+00:00
MAX17043,3.646,124.078,2022-06-16 18:08:00.341700+00:00
MAX17043,3.646,123.922,2022-06-16 18:08:00.807839+00:00
MAX17043,3.646,123.922,2022-06-16 18:08:01.365021+00:00
MAX17043,3.646,123.922,2022-06-16 18:08:01.830961+00:00
MAX17043,3.646,123.922,2022-06-16 18:08:02.393005+00:00
MAX17043,3.646,123.922,2022-06-16 18:08:02.842929+00:00
MAX17043,3.646,123.922,2022-06-16 18:08:03.405130+00:00
MAX17043,3.646,123.762,2022-06-16 18:08:03.871947+00:00
MAX17043,3.646,123.762,2022-06-16 18:08:04.428342+00:00
MAX17043,3.646,123.762,2022-06-16 18:08:04.882821+00:00
MAX17043,3.646,123.762,2022-06-16 18:08:05.440900+00:00
MAX17043,3.646,123.762,2022-06-16 18:08:05.910354+00:00
MAX17043,3.646,123.605,2022-06-16 18:08:06.453164+00:00
MAX17043,3.648,123.605,2022-06-16 18:08:06.939769+00:00
MAX17043,3.648,123.605,2022-06-16 18:08:07.502771+00:00
MAX17043,3.648,123.605,2022-06-16 18:08:07.955822+00:00
MAX17043,3.648,123.605,2022-06-16 18:08:08.499344+00:00
MAX17043,3.648,123.605,2022-06-16 18:08:08.980573+00:00
MAX17043,3.648,123.445,2022-06-16 18:08:09.538752+00:00
MAX17043,3.648,123.445,2022-06-16 18:08:10.002137+00:00
MAX17043,3.648,123.445,2022-06-16 18:08:10.558173+00:00
MAX17043,3.648,123.445,2022-06-16 18:08:11.025718+00:00
MAX17043,3.648,123.445,2022-06-16 18:08:11.570360+00:00
MAX17043,3.648,123.445,2022-06-16 18:08:12.042693+00:00
MAX17043,3.648,123.289,2022-06-16 18:08:12.602740+00:00
MAX17043,3.648,123.289,2022-06-16 18:08:13.065524+00:00
MAX17043,3.648,123.289,2022-06-16 18:08:13.627085+00:00
MAX17043,3.648,123.289,2022-06-16 18:08:14.092227+00:00
MAX17043,3.648,123.289,2022-06-16 18:08:14.653762+00:00
MAX17043,3.649,123.129,2022-06-16 18:08:15.119638+00:00
MAX17043,3.649,123.129,2022-06-16 18:08:15.682611+00:00
MAX17043,3.649,123.129,2022-06-16 18:08:16.150158+00:00
MAX17043,3.649,123.129,2022-06-16 18:08:16.709252+00:00
MAX17043,3.649,123.129,2022-06-16 18:08:17.174991+00:00
MAX17043,3.649,123.129,2022-06-16 18:08:17.737468+00:00
MAX17043,3.649,122.973,2022-06-16 18:08:18.204523+00:00
MAX17043,3.649,122.973,2022-06-16 18:08:18.767214+00:00
MAX17043,3.649,122.973,2022-06-16 18:08:19.215263+00:00
MAX17043,3.649,122.973,2022-06-16 18:08:19.773625+00:00
MAX17043,3.649,122.973,2022-06-16 18:08:20.238476+00:00
MAX17043,3.649,122.813,2022-06-16 18:08:20.801460+00:00
MAX17043,3.649,122.813,2022-06-16 18:08:21.252143+00:00
MAX17043,3.649,122.813,2022-06-16 18:08:21.808779+00:00
MAX17043,3.649,122.813,2022-06-16 18:08:22.276454+00:00
MAX17043,3.649,122.813,2022-06-16 18:08:22.834162+00:00
MAX17043,3.649,122.813,2022-06-16 18:08:23.301687+00:00
MAX17043,3.649,122.656,2022-06-16 18:08:23.857535+00:00
MAX17043,3.649,122.656,2022-06-16 18:08:24.324907+00:00
MAX17043,3.649,122.656,2022-06-16 18:08:24.890558+00:00
MAX17043,3.649,122.656,2022-06-16 18:08:25.338206+00:00
MAX17043,3.649,122.656,2022-06-16 18:08:25.910185+00:00
MAX17043,3.649,122.656,2022-06-16 18:08:26.348339+00:00
MAX17043,3.649,122.496,2022-06-16 18:08:26.909835+00:00
MAX17043,3.649,122.496,2022-06-16 18:08:27.372470+00:00
MAX17043,3.649,122.496,2022-06-16 18:08:27.928697+00:00
MAX17043,3.649,122.496,2022-06-16 18:08:28.380971+00:00
MAX17043,3.649,122.496,2022-06-16 18:08:28.940198+00:00
MAX17043,3.649,122.496,2022-06-16 18:08:29.396195+00:00
MAX17043,3.649,122.340,2022-06-16 18:08:29.955395+00:00
MAX17043,3.649,122.340,2022-06-16 18:08:30.423251+00:00
MAX17043,3.649,122.340,2022-06-16 18:08:30.982261+00:00
MAX17043,3.649,122.340,2022-06-16 18:08:31.424152+00:00
MAX17043,3.649,122.340,2022-06-16 18:08:31.943682+00:00
MAX17043,3.649,122.180,2022-06-16 18:08:32.432282+00:00
MAX17043,3.649,122.180,2022-06-16 18:08:32.937394+00:00
MAX17043,3.649,122.180,2022-06-16 18:08:33.441200+00:00
MAX17043,3.649,122.180,2022-06-16 18:08:33.944110+00:00
MAX17043,3.649,122.180,2022-06-16 18:08:34.493608+00:00
MAX17043,3.649,122.180,2022-06-16 18:08:34.951466+00:00
MAX17043,3.649,122.023,2022-06-16 18:08:35.485747+00:00
MAX17043,3.649,122.023,2022-06-16 18:08:35.989224+00:00
MAX17043,3.649,122.023,2022-06-16 18:08:36.515342+00:00
MAX17043,3.649,122.023,2022-06-16 18:08:37.025365+00:00
MAX17043,3.649,122.023,2022-06-16 18:08:37.484814+00:00
MAX17043,3.649,122.023,2022-06-16 18:08:38.009955+00:00
MAX17043,3.649,121.863,2022-06-16 18:08:38.721748+00:00
MAX17043,3.649,121.863,2022-06-16 18:08:39.038376+00:00
MAX17043,3.649,121.863,2022-06-16 18:08:39.577996+00:00
MAX17043,3.649,121.863,2022-06-16 18:08:40.016387+00:00
MAX17043,3.649,121.863,2022-06-16 18:08:40.538982+00:00
MAX17043,3.649,121.863,2022-06-16 18:08:41.073900+00:00
MAX17043,3.649,121.707,2022-06-16 18:08:41.536003+00:00
MAX17043,3.649,121.707,2022-06-16 18:08:42.093128+00:00
MAX17043,3.649,121.707,2022-06-16 18:08:42.552232+00:00
MAX17043,3.649,121.707,2022-06-16 18:08:43.126077+00:00
MAX17043,3.649,121.707,2022-06-16 18:08:43.564775+00:00
MAX17043,3.649,121.547,2022-06-16 18:08:44.136907+00:00
MAX17043,3.649,121.547,2022-06-16 18:08:44.583008+00:00
MAX17043,3.649,121.547,2022-06-16 18:08:45.158137+00:00
MAX17043,3.649,121.547,2022-06-16 18:08:45.604239+00:00
MAX17043,3.649,121.547,2022-06-16 18:08:46.179370+00:00
MAX17043,3.649,121.547,2022-06-16 18:08:46.627470+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:47.203601+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:47.649701+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:48.206828+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:48.670933+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:49.247063+00:00
MAX17043,3.649,121.391,2022-06-16 18:08:49.693165+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:50.268295+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:50.716866+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:51.288997+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:51.731619+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:52.303749+00:00
MAX17043,3.649,121.230,2022-06-16 18:08:52.749851+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:53.322981+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:53.771081+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:54.347212+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:54.793314+00:00
MAX17043,3.649,121.074,2022-06-16 18:08:55.369446+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:55.813148+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:56.384276+00:00
MAX17043,3.649,120.914,2022-06-16 18:08:56.830375+00:00
